#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.No5,mpi_00003,scotch,GAMG-Jacobi,OF230_Gcc_OpenMPI,dev,Nov 23 2015,17:05:00, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,9,312,318,7.84,307.69,313.94,6.06,6.05882,5.997,6.00196
log.pimpleFoam.No6,mpi_00003,scotch,GAMG-Jacobi,OF230_Gcc_OpenMPI,dev,Nov 23 2015,17:13:49, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,8,313,319,7.83,309.23,315.44,6.1,6.09804,6.028,6.03157
log.pimpleFoam.No7,mpi_00003,scotch,GAMG-Jacobi,OF230_Gcc_OpenMPI,dev,Nov 23 2015,17:27:25, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,11,322,329,9.6,318.1,324.48,6.22,6.23529,6.17,6.17412
log.pimpleFoam.No8,mpi_00003,scotch,GAMG-Jacobi,OF230_Gcc_OpenMPI,dev,Nov 23 2015,17:35:00, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0633583,2.43851e-06,4,0.0973205,9.8948e-07,4,0.785238,0.0220212,5,0.776025,9.70529e-07,67,2.92727e-10,-5.23939e-20,-1.84476e-18,1.2791e-14,-4.77283e-20,-1.89249e-18,52,9,318,324,8.19,314.06,320.35,6.18,6.17647,6.1174,6.12078
log.pimpleFoam.No1,mpi_00003,scotch,PCG-DIC,OF230_Gcc_OpenMPI,dev,Nov 20 2015,14:58:03, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0632041,2.43591e-06,4,0.0972181,9.85245e-07,4,0.786098,0.0383094,30,0.7847,9.88119e-07,548,5.08569e-10,-3.83309e-20,-1.85488e-18,1.4065e-14,-4.05317e-20,-1.89541e-18,52,9,306,310,7.43,260.72,263.98,5.94,5.90196,5.0658,5.03039
log.pimpleFoam.No2,mpi_00003,scotch,PCG-DIC,OF230_Gcc_OpenMPI,dev,Nov 20 2015,14:58:03, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0632041,2.43591e-06,4,0.0972181,9.85245e-07,4,0.786098,0.0383094,30,0.7847,9.88119e-07,548,5.08569e-10,-3.83309e-20,-1.85488e-18,1.4065e-14,-4.05317e-20,-1.89541e-18,52,9,310,314,7.45,263.09,266.41,6.02,5.98039,5.1128,5.07765
log.pimpleFoam.No3,mpi_00003,scotch,PCG-DIC,OF230_Gcc_OpenMPI,dev,Nov 20 2015,21:11:22, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0632041,2.43591e-06,4,0.0972181,9.85245e-07,4,0.786098,0.0383094,30,0.7847,9.88119e-07,548,5.08569e-10,-3.83309e-20,-1.85488e-18,1.4065e-14,-4.05317e-20,-1.89541e-18,52,9,304,308,7.32,255.26,258.47,5.9,5.86275,4.9588,4.92451
log.pimpleFoam.No4,mpi_00003,scotch,PCG-DIC,OF230_Gcc_OpenMPI,dev,Nov 20 2015,21:11:25, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0632041,2.43591e-06,4,0.0972181,9.85245e-07,4,0.786098,0.0383094,30,0.7847,9.88119e-07,548,5.08569e-10,-3.83309e-20,-1.85488e-18,1.4065e-14,-4.05317e-20,-1.89541e-18,52,22,322,326,19,275.42,278.86,6,5.96078,5.1284,5.09529
log.pimpleFoam.No5,mpi_00003,scotch,PCG-DIC,OF230_Gcc_OpenMPI,dev,Nov 20 2015,21:21:44, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0632041,2.43591e-06,4,0.0972181,9.85245e-07,4,0.786098,0.0383094,30,0.7847,9.88119e-07,548,5.08569e-10,-3.83309e-20,-1.85488e-18,1.4065e-14,-4.05317e-20,-1.89541e-18,52,9,305,309,7.48,255.9,259.15,5.92,5.88235,4.9684,4.93471
log.pimpleFoam.No6,mpi_00003,scotch,PCG-DIC,OF230_Gcc_OpenMPI,dev,Nov 20 2015,21:23:35, 1,3,0.445924,0.461484,0.003552,1.27237e-06,2,0.0632041,2.43591e-06,4,0.0972181,9.85245e-07,4,0.786098,0.0383094,30,0.7847,9.88119e-07,548,5.08569e-10,-3.83309e-20,-1.85488e-18,1.4065e-14,-4.05317e-20,-1.89541e-18,52,9,304,308,7.27,257.56,260.9,5.9,5.86275,5.0058,4.97314
