#log,decomposeParDict,method,fvSolution,solveBatch,Build,Date,Time,nNodes,nProcs,CoMean,CoMax,UxInitRes,UxFinalRes,UxNoIter,UyInitRes,UyFinalRes,UyNoIter,UzInitRes,UzFinalRes,UzNoIter,p0InitRes,p0FinalRes,p0NoIter,p1InitRes,p1FinalRes,p1NoIter,contErrSumLocal0,contErrGlobal0,contErrCum0,contErrSumLocal1,contErrGlobal1,contErrCum1,Steps,ClockTimeFirstStep,ClockTimeNextToLastStep,ClockTimeLastStep,ExecutionTimeFirstStep,ExecutionTimeNextToLastStep,ExecutionTimeLastStep,ClockTimePerStepWOLastStep,ClockTimePerStep,ExecutionTimePerStepWOLastStep,ExecutionTimePerStep
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF230_Icc_SGIMPI,2.3.0-f5222ca19ce6,Nov 03 2016,14:41:43,1,36,0.448854,0.459928,0.00320948,1.42611e-06,2,0.0238241,4.28344e-06,3,0.0384549,5.82111e-06,3,0.837861,0.0184979,3,0.839434,9.96014e-07,45,1.55962e-10,1.22532e-19,1.57239e-18,8.42621e-15,1.2253e-19,1.69492e-18,52,24,1371,1398,22.37,1369.34,1395.76,26.94,26.9412,26.9394,26.9292
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Gcc_INTELMPI,4.1,Nov 03 2016,14:41:58,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,22,1401,1430,20.14,1397.98,1426.57,27.58,27.6078,27.5568,27.5771
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Gcc_OPENMPI,4.1,Nov 05 2016,06:18:41,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,23,1422,1451,20.54,1420.4,1449.08,27.98,28,27.9972,28.0106
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Gcc_SGIMPI,4.1,Nov 04 2016,09:28:47,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239716,4.46095e-06,3,0.0388077,5.53426e-06,3,0.841738,0.0186296,3,0.84355,9.98868e-07,51,1.5609e-10,-1.31687e-20,-1.71712e-18,8.39524e-15,-1.92224e-20,-1.73634e-18,52,22,1395,1423,20.3,1393.17,1421.33,27.46,27.4706,27.4574,27.4712
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Icc1604_INTELMPI,4.1,Nov 01 2016,12:05:25,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,23,1411,1440,20.24,1405.59,1434.08,27.76,27.7843,27.707,27.7224
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Icc1604_INTELMPI513258,4.1,Nov 01 2016,12:09:28,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,24,1411,1439,20.24,1406.07,1434.5,27.74,27.7451,27.7166,27.7306
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI,4.1,Oct 30 2016,14:25:51,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,23,1412,1441,20.28,1408.83,1437.31,27.78,27.8039,27.771,27.7849
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Icc_INTELMPI_VTune,4.1,Oct 31 2016,01:20:28,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,23,1412,1441,20.36,1404.54,1433.43,27.78,27.8039,27.6836,27.7073
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Icc_OPENMPI,4.1,Nov 05 2016,14:35:56,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239715,4.46095e-06,3,0.0388028,5.53375e-06,3,0.841737,0.0186297,3,0.84355,9.55304e-07,51,1.56091e-10,-2.27059e-20,-1.69866e-18,8.03122e-15,-2.12431e-20,-1.71991e-18,52,23,1421,1450,20.54,1419.25,1447.95,27.96,27.9804,27.9742,27.9884
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,GAMG-DIC,OF41_Icc_SGIMPI,4.1,Nov 02 2016,11:11:14,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0239716,4.46095e-06,3,0.0388077,5.53426e-06,3,0.841738,0.0186296,3,0.84355,9.98868e-07,51,1.5609e-10,-1.31687e-20,-1.71712e-18,8.39524e-15,-1.92224e-20,-1.73634e-18,52,22,1402,1431,20.29,1398.47,1427.17,27.6,27.6275,27.5636,27.5859
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,PCG-DIC,OF230_Icc_SGIMPI,2.3.0-f5222ca19ce6,Nov 03 2016,14:41:43,1,36,0.448854,0.459928,0.00320948,1.42611e-06,2,0.0242149,4.33385e-06,3,0.0387174,5.86206e-06,3,0.838783,0.0412592,30,0.844312,9.84094e-07,482,3.48442e-10,1.91773e-20,1.38399e-18,8.61971e-15,2.57104e-20,1.4097e-18,52,81,3331,3375,80.06,3330.87,3374.59,65,64.5882,65.0162,64.5986
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,PCG-DIC,OF41_Gcc_INTELMPI,4.1,Nov 03 2016,14:51:05,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0243573,4.51329e-06,3,0.039063,5.572e-06,3,0.842602,0.041524,30,0.84813,9.94668e-07,988,3.48486e-10,-1.11677e-20,-1.67858e-18,8.49656e-15,-1.37553e-20,-1.69234e-18,52,82,3942,4022,79.56,3937.92,4018.62,77.2,77.2549,77.1672,77.2365
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,PCG-DIC,OF41_Gcc_OPENMPI,4.1,Nov 05 2016,06:19:31,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0243573,4.51329e-06,3,0.039063,5.572e-06,3,0.842602,0.041524,30,0.84813,9.94668e-07,988,3.48486e-10,-1.11677e-20,-1.67858e-18,8.49656e-15,-1.37553e-20,-1.69234e-18,52,82,3956,4037,78.19,3951.32,4031.84,77.48,77.549,77.4626,77.5225
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,PCG-DIC,OF41_Gcc_SGIMPI,4.1,Nov 04 2016,09:52:51,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0243573,4.5133e-06,3,0.0390635,5.57205e-06,3,0.842602,0.0415244,30,0.84813,9.80877e-07,988,3.48489e-10,-1.75466e-20,-1.76107e-18,8.37877e-15,-1.14107e-20,-1.77249e-18,52,81,3911,3991,79.21,3909.15,3989.43,76.6,76.6667,76.5988,76.671
log.pimpleFoam.1th,mpi_0036-method_scotch,scotch,PCG-DIC,OF41_Icc1604_INTELMPI,4.1,Nov 01 2016,12:30:13,1,36,0.448854,0.459928,0.00320948,1.4261e-06,2,0.0243573,4.51329e-06,3,0.039063,5.572e-06,3,0.842602,0.041524,30,0.84813,9.94668e-07,988,3.48486e-10,-1.11677e-20,-1.67858e-18,8.49656e-15,-1.37553e-20,-1.69234e-18,52,82,3957,4037,79.48,3952.98,4033.57,77.5,77.549,77.47,77.5312
